area,crop,last,tile,dates,SustInd,country,version,flatness,src_proj,perimeter,center_lat,center_lng,confidence,exterior_area,number_of_vertices,number_of_vertices_simplified,herbaceous_vegetation,shrubs,open_forest,id,id_long,center
14140.11616,100,0.097038,37MCT,"20230602,20230826,20230925",2.315978,KE,202405,0.02308075114,32737,0,-2.364725,37.830476,94.15301604,14212.57823,104,49,0,0,0,135443_37MCT_ke-120712106,135443_37MCT_ke-1207121065083474_202405,"-2.364725,37.830476"
9316.167382,20,0.093343,37MCT,"20230602,20230826,20230925",1.967563,KE,202405,0.04589328278,32737,0,-2.353818,37.825611,96.57664514,9766.336108,57,32,80,0,0,40051_37MCT_ke-1207121065,40051_37MCT_ke-1207121065083474_202405,"-2.353818,37.825611"
3719.106826,75,0.098622,37MCT,"20230602,20230826,20230925",1.733758,KE,202405,0.04866484323,32737,0,-2.358449,37.810406,97.81000924,3719.106826,31,11,0,25,0,57305_37MCT_ke-1207121065,57305_37MCT_ke-1207121065083474_202405,"-2.358449,37.810406"
5062.602467,100,0.089864,37MCT,"20230602,20230826,20230925",2.553976,KE,202405,0.01322359729,32737,0,-2.363996,37.827025,97.09790781,5062.602467,64,23,0,0,0,131063_37MCT_ke-120712106,131063_37MCT_ke-1207121065083474_202405,"-2.363996,37.827025"
3528.558011,75,0.075688,37MCT,"20230602,20230826,20230925",-10.483459,KE,202405,0.05617611826,32737,0,-2.377173,37.819111,96.1821835,3528.558011,29,12,0,25,0,74646_37MCT_ke-1207121065,74646_37MCT_ke-1207121065083474_202405,"-2.377173,37.819111"
6719.486726,75,0.065295,37MCT,"20230602,20230826,20230925",-15.73899,KE,202405,0.04168835714,32737,0,-2.37878,37.834118,97.17525601,6719.486726,52,29,0,25,0,41550_37MCT_ke-1207121065,41550_37MCT_ke-1207121065083474_202405,"-2.37878,37.834118"
2787.394446,100,0.075467,37MCT,"20230602,20230826,20230925",-9.415351,KE,202405,0.04838455103,32737,0,-2.374309,37.812839,96.00952387,2787.394446,33,13,0,0,0,70438_37MCT_ke-1207121065,70438_37MCT_ke-1207121065083474_202405,"-2.374309,37.812839"
1672.747747,100,0.06927,37MCT,"20230602,20230826,20230925",-4.425682,KE,202405,0.04013195842,32737,0,-2.382214,37.835296,97.35844755,1672.747747,30,12,0,0,0,99395_37MCT_ke-1207121065,99395_37MCT_ke-1207121065083474_202405,"-2.382214,37.835296"
3000.066385,100,0.080423,37MCT,"20230602,20230826,20230925",-2.143166,KE,202405,0.06190143874,32737,0,-2.360971,37.807184,96.98219967,3000.066385,19,11,0,0,0,151026_37MCT_ke-120712106,151026_37MCT_ke-1207121065083474_202405,"-2.360971,37.807184"
3232.859236,100,0.076212,37MCT,"20230602,20230826,20230925",1.752443,KE,202405,0.06600371192,32737,0,-2.373739,37.835526,95.65723753,3232.859236,29,12,0,0,0,158363_37MCT_ke-120712106,158363_37MCT_ke-1207121065083474_202405,"-2.373739,37.835526"
